F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_157.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_157.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_157.jpg,0,0,0,3.639917E-06
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_229.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_229.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_229.jpg,0,0,0,9.182691E-06
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_298.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_298.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_298.jpg,0,0,0,1.151333E-05
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_367.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_367.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_367.jpg,0,0,0,4.52239E-06
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_436.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_436.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_436.jpg,0,0,0,7.556737E-07
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_503.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_503.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_503.jpg,0,0,0,9.153881E-07
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_574.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_574.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_574.jpg,0,0,0,1.948981E-05
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_645.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_645.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_645.jpg,0,0,0,3.023906E-05
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_716.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_716.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_716.jpg,0,0,0,1.265496E-05
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_784.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_784.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_784.jpg,0,0,0,7.858589E-06
F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\center_2020_02_08_13_09_42_855.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\left_2020_02_08_13_09_42_855.jpg,F:\Projects\UdacitySelfDriving\BehavioralCloning\data\IMG\right_2020_02_08_13_09_42_855.jpg,0,0.04703583,0,0.005845204
